IngredientName,IngredientType,CaloriesIn100g,ProteinIn100g,CarbsIn100g,FatIn100g,SpecificGravity
anchovy fillets,Grocery,210,29,0,10,0.00
apples,Vegetable,52,0,14,0,0.00
asafoetida,Check,0,0,0,0,0.00
aubergine,Vegetable,25,1,6,0,0.00
bacon,Meat,548,37,1,42,0.00
baked beans,Grocery,75,5,14,0,0.00
baking potatoes,Vegetable,136,4,32,0,0.00
basil,Check,0,0,0,0,0.00
bay leaf,Check,0,0,0,0,0.00
black bean sauce,Grocery,90,0,20,1,0.00
black pepper corns,Check,0,0,0,0,0.00
blue cheese,Dairy,353,21,2,29,0.00
boiling potatoes,Vegetable,77,2,18,0,0.00
boiling water,Water,0,0,0,0,0.00
branston pickle,Grocery,157,0,36,0,0.00
bread,Grocery,218,9,44,2,0.00
broccoli,Vegetable,34,3,7,0,0.00
brown rice,Grocery,111,3,23,1,0.00
bulgur wheat,Grocery,342,12,76,1,0.00
burgers,Meat,295,17,24,14,0.00
butter,Dairy,717,1,0,81,0.00
can butter beans,Grocery,96,8,15,1,0.00
cabbage,Vegetable,26,1,4,0,0.00
can baked beans,Grocery,155,6,22,5,0.00
can borlotti beans,Grocery,94,7,12,1,0.00
can cannellini beans,Grocery,85,7,13,1,0.00
can chick peas,Grocery,119,5,23,1,0.00
can coconut milk,Grocery,188,2,3,20,0.00
can corned beef,Grocery,222,25,0,13.5,0.00
can curry,Grocery,90,11,2,4,0.00
can evaporated milk,Grocery,134,7,10,8,0.00
can flageolet beans,Grocery,85,7,13,1,0.00
can kidney beans,Grocery,57,7,7,0,0.00
can mackerel,Grocery,245,20,0,18,0.00
can mushroom soup,Grocery,273,5,18,20,0.00
can pineapple,Grocery,60,1,16,0,0.00
can sardines,Grocery,208,25,0,11,0.00
can sweetcorn,Grocery,111,3,22,1,0.00
can tomatoes,Grocery,16,1,3,0,0.00
can tuna fish,Grocery,116,26,0,1,0.00
capers,Grocery,23,2,5,1,0.00
caraway seeds,Check,0,0,0,0,0.00
carrots,Vegetable,35,1,8,0,0.00
cashew nuts,Grocery,553,18,30,44,0.00
cauliflower,Vegetable,25,2,5,0,0.00
celery,Vegetable,7,1,1,0,0.00
cheese,Dairy,412,26,0,34,0.00
chicken,Meat,183,29,0,7,0.00
chilli powder,Check,0,0,0,0,0.00
chillis,Vegetable,0,0,0,0,0.00
